time, x, y, z
2050,-10.093954,-7.441179,9.9790325
2055,-11.769896,-9.595961,12.248735
2060,-12.449849,-11.310209,13.733141
2065,-12.765883,-12.516887,14.15452
2070,-12.727576,-12.995727,14.757859
2075,-11.951855,-12.354081,15.964537
2080,-11.262324,-10.850522,16.347609
2085,-11.319786,-8.983045,16.270994
2090,-12.545617,-7.5848308,15.935806
2095,-14.939818,-6.6367273,16.395493
2100,-17.611748,-5.6886234,18.368315
2105,-19.191921,-4.6926355,20.791248
2110,-19.651608,-4.510676,23.444023
2115,-19.191921,-5.171476,25.924416
2120,-18.636467,-6.8761473,28.203695
2125,-19.479225,-8.695741,30.856472
2130,-21.346703,-10.304645,34.055126
2135,-23.376986,-11.903971,36.91859
2140,-25.234886,-13.062764,38.709454
2145,-26.336218,-13.474567,40.09809
2150,-27.389668,-13.340492,40.011898
2155,-27.686548,-12.77546,38.402996
2160,-26.958712,-12.124237,35.386303
2165,-24.918852,-11.482592,30.89478
2170,-21.95004,-10.869676,25.005043
2175,-18.425776,-9.998186,19.009962
2180,-14.882358,-9.030929,12.98615
2185,-11.990162,-7.7667904,7.297527
2190,-9.624691,-6.6079965,2.9879637
2195,-7.929596,-5.410896,-0.05746084
2200,-7.0581064,-4.548983,-1.8291701
2205,-6.885724,-4.0797195,-1.7142484
2210,-7.73806,-4.175488,-0.82360536
2215,-9.346964,-4.5298295,0.61291564
2220,-11.032481,-4.8267107,2.3175871
2225,-12.095507,-4.7022123,4.2521024
2230,-12.564771,-4.6926355,6.033388
2235,-12.966996,-4.6160207,7.651869
2240,-13.512875,-4.6926355,8.781932
2245,-13.88637,-4.8362875,9.672575
2250,-13.493721,-4.903325,10.860099
2255,-12.74673,-4.903325,12.277467
2260,-11.999739,-4.855441,13.350069
2265,-11.319786,-4.9320555,14.528016
2270,-10.783484,-5.094861,15.44739
2275,-10.5440645,-5.1235914,16.376339
2280,-10.620679,-5.094861,17.458519
2285,-10.879252,-5.2959743,18.962078
2290,-11.271901,-5.803545,20.254946
2295,-11.923124,-6.2249246,21.71062
2300,-12.804191,-6.4260373,22.955606
2305,-13.570335,-6.3302693,23.999477
2310,-13.9438305,-6.129156,25.07208
2315,-13.8959465,-5.8705826,25.646688
2320,-13.359646,-5.659893,25.665842
2325,-12.516887,-5.4204726,24.938005
2330,-11.664551,-5.0757074,23.855825
2335,-10.611102,-4.663905,22.256498
2340,-9.346964,-4.2425256,20.33156
2345,-8.025364,-3.8307228,18.138472
2350,-6.9048777,-3.6008794,15.993267
2355,-5.90889,-3.2561142,14.173674
2360,-5.602432,-2.9879637,12.765883
2365,-5.410896,-2.7581203,11.990162
2370,-5.267244,-2.566584,11.032481
2375,-5.3247046,-2.4229321,10.237606
2380,-5.602432,-2.2505496,9.519346
2385,-5.9663506,-1.982399,8.925584
2390,-6.291962,-1.7717092,8.37013
2395,-6.3206925,-1.6184803,7.7189064
2400,-6.349423,-1.4556746,6.789956
2405,-6.4164605,-1.2545617,6.090849
2410,-6.4068837,-1.0821792,5.4300494
2415,-6.2249246,-0.89064306,5.056554
2420,-6.0238113,-0.6991069,4.865018
2425,-6.1866174,-0.641646,5.899313
2430,-6.301539,-0.35434186,4.7022123
2435,-6.5601125,-0.49799395,4.4723687
2440,-5.4683566,-0.4405331,4.596867
2445,-4.146757,-0.5746084,4.309563
2450,-3.6583402,-0.8331822,4.213795
2455,-3.3806129,-1.0151415,4.4436383
2460,-3.916914,-0.91937345,5.046977
2465,-4.55856,-0.8331822,5.497087
2470,-3.8115692,-0.92895025,5.9759274
2475,-4.003105,-0.93852705,6.531382
2480,-7.7667904,-0.641646,8.475474
2485,-9.184157,-0.31603462,10.70687
2490,-3.1124623,-0.7374141,8.676587
2495,-4.0414124,-0.78529817,7.6231384
2500,-5.6790466,-0.23942018,7.038953
2505,-4.462792,0.30645782,6.3302693
2510,-3.3806129,0.4309563,5.746084
2515,-2.7389667,0.038307227,5.21936
2520,-2.5378537,-0.20111294,4.855441
2525,-2.4899697,-0.24899697,4.9703627
2530,-2.4708161,-0.10534488,5.2385135
2535,-2.633622,-0.019153614,5.6982
2540,-3.0262709,0.05746084,6.205771
2545,-3.4380736,0.1436521,6.445191
2550,-3.3997664,0.095768064,6.6175733
2555,-3.0358477,0.25857377,6.751649
2560,-2.6144683,0.12449849,6.540959
2565,-2.1260512,0.047884032,6.1770406
2570,-1.685518,0.05746084,5.90889
2575,-1.4077905,0.02873042,5.650316
2580,-1.2545617,0.009576807,5.6120086
2585,-1.13964,-0.05746084,5.5162406
2590,-1.2162545,0.019153614,5.583278
2595,-1.3503298,0.06703765,5.497087
2600,-1.4748282,0.11492168,5.4779334
2605,-1.6280571,0.1436521,5.4683566
2610,-1.7908629,0.24899697,5.3821654
2615,-2.030283,0.38307226,5.2863975
2620,-2.231396,0.38307226,5.1523223
2625,-2.4133554,0.40222588,5.085284
2630,-2.384625,0.41180268,4.8841715
2635,-2.2026656,0.4309563,4.7788267
2640,-2.2122424,0.30645782,4.807557
2645,-2.2601264,0.33518824,4.7884035
2650,-1.9153614,0.36391866,5.0278234
2655,-2.1260512,0.21068975,5.1523223
2660,-2.183512,0.11492168,5.2768207
2665,-2.183512,-0.06703765,5.391742
2670,-2.1547816,-0.019153614,5.6215854
2675,-1.5897499,0.5650316,3.7541082
2680,-2.7389667,0.842759,3.4093432
2685,-3.572149,0.019153614,4.711789
2690,-4.185065,-0.02873042,5.746084
2695,-4.663905,0.30645782,7.019799
2700,-4.6830587,0.545878,7.776367
2705,-4.1180267,-0.038307227,7.6231384
2710,-3.6774938,0.0,7.0964136
2715,-3.466804,0.076614454,6.789956
2720,-3.3135753,0.05746084,6.4739213
2725,-2.8921957,-0.047884032,5.889736
